Date,File,Description,Amount
2023-04-03,personal_chequing_multi_page_2.pdf,Misc Payment PAY-FILE FEES,-2.0
2023-04-03,personal_chequing_multi_page_2.pdf,Monthly fee,-6.0
2023-04-03,personal_chequing_multi_page_2.pdf,Electronic transaction fee 9 Drs @ 0.75 2 Crs @ 0.75,-8.25
2023-04-05,personal_chequing_multi_page_2.pdf,Online Banking transfer - 5693,-10.36
2023-04-05,personal_chequing_multi_page_2.pdf,Investment MD Financial,-5000.0
2023-04-10,personal_chequing_multi_page_2.pdf,Online transfer sent - 5173,-2000.0
2023-04-11,personal_chequing_multi_page_2.pdf,Account Payable Pmt WINCHESTER DMH,2514.52
2023-04-14,personal_chequing_multi_page_2.pdf,Misc Payment ONTARIO HEALTH,731.62
2023-04-14,personal_chequing_multi_page_2.pdf,Online transfer sent - 8380,-2000.0
2023-04-14,personal_chequing_multi_page_2.pdf,COMMERCIAL TAXES TXINS 3973910,-1677.9
2023-04-14,personal_chequing_multi_page_2.pdf,COMMERCIAL TAXES TXINS 3939257,-64616.47
2023-04-20,personal_chequing_multi_page_2.pdf,Misc Payment CMPA-ACPM,-180.0
2023-04-21,personal_chequing_multi_page_2.pdf,Bill Payment GOV NU PAYABLES,122.71
2023-04-21,personal_chequing_multi_page_2.pdf,Bill Payment GOV NU PAYABLES,22350.0
2023-04-21,personal_chequing_multi_page_2.pdf,Online transfer sent - 2965,-2000.0
2023-04-21,personal_chequing_multi_page_2.pdf,Online Banking transfer - 9677,-1778.32
2023-04-27,personal_chequing_multi_page_2.pdf,Online Banking transfer - 9026,-1349.01
2023-04-28,personal_chequing_multi_page_2.pdf,Bill Payment GOV NU PAYABLES,300.0
2023-04-28,personal_chequing_multi_page_2.pdf,Online transfer sent - 0941,-2000.0
